,HF,H1N,H1P,H2N,H2P,H3N,H3P,H4N,H4P,H5N,H5P,H6N,H6P,H7N,H7P,H8N,H8P,H9N,H9P,H10N,H10P,H11N,H11P,AF,F1N,F1P,F2N,F2P,F3N,F3P,F4N,F4P,F5N,F5P,F6N,F6P,F7N,F7P,F8N,F8P,F9N,F9P,F10N,F10P,F11N,F11P,HS,AS,result
196,4-3-3,9,FW,47,LW,21,RW,8,CM,20,CM,25,DM,11,LB,14,CB,3,CB,2,RB,31,GK,3-5-2,24,FW,14,FW,4,CM,7,CM,16,DM,20,WB,2,WB,22,CB,12,CB,6,CB,1,GK,1,0,home
197,3-5-2,7,FW,12,RW,23,CM,18,CM,8,DM,3,LB,2,RB,27,CB,5,CB,6,CB,1,GK,3-4-3,9,FW,19,LW,15,RW,29,DM,18,DM,33,WB,14,WB,16,CB,5,CB,34,CB,1,GK,2,2,draw
198,4-2-3-1,23,FW,11,LW,9,RW,25,AM,4,DM,22,DM,3,LB,6,CB,8,CB,17,RB,31,GK,3-4-3,12,FW,10,AM,7,AM,28,DM,32,DM,22,WB,2,WB,49,CB,16,CB,15,CB,11,GK,1,0,home
199,4-2-3-1,9,FW,35,LW,19,RW,32,AM,34,DM,18,DM,17,LB,23,CB,16,CB,2,RB,1,GK,4-2-3-1,7,FW,6,DM,10,RW,18,AM,17,DM,39,DM,23,LB,5,CB,2,CB,29,RB,1,GK,0,0,draw
200,4-4-2,11,FW,9,FW,17,LM,32,RM,27,DM,6,DM,3,LB,5,CB,35,CB,8,RB,1,GK,4-2-3-1,11,FW,10,LW,15,RW,20,AM,7,DM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,0,1,away
201,3-4-3,9,FW,11,LW,19,RW,17,DM,5,DM,3,WB,20,WB,2,CB,6,CB,28,CB,16,GK,4-4-2,9,FW,27,FW,11,LM,12,RM,4,DM,18,DM,23,LB,6,CB,5,CB,2,RB,1,GK,2,0,home
202,4-2-3-1,17,FW,15,LW,11,RW,10,AM,24,DM,8,DM,2,LB,6,CB,3,CB,27,RB,1,GK,4-1-4-1,9,FW,22,LM,15,CM,20,CM,18,RM,23,DM,10,LB,6,CB,21,CB,2,RB,1,GK,1,3,away
203,4-2-3-1,30,FW,18,LW,20,RW,9,AM,41,DM,28,DM,3,LB,21,CB,15,CB,5,RB,1,GK,4-4-2◆,27,FW,11,FW,23,AM,7,CM,6,CM,5,DM,26,LB,14,CB,47,CB,66,RB,1,GK,1,3,away
204,3-5-2,11,FW,9,FW,10,CM,13,CM,8,DM,20,WB,34,WB,4,CB,5,CB,3,CB,26,GK,3-4-3,23,FW,7,LW,9,RW,5,CM,28,CM,33,WB,17,WB,14,CB,4,CB,6,CB,1,GK,1,0,home
205,3-5-2,10,FW,17,FW,4,CM,7,CM,16,DM,20,WB,2,WB,22,CB,12,CB,6,CB,1,GK,4-4-1-1,17,FW,7,LM,12,AM,10,RM,23,DM,8,DM,14,LB,5,CB,6,CB,27,RB,1,GK,2,1,home
206,4-2-3-1,12,FW,7,LW,37,RW,10,AM,28,DM,8,DM,49,LB,15,CB,16,CB,22,RB,11,GK,4-2-3-1,9,FW,19,LW,7,RW,32,AM,34,DM,18,DM,17,LB,23,CB,16,CB,2,RB,1,GK,2,1,home
207,4-4-2◆,21,FW,13,FW,24,AM,8,CM,16,CM,14,DM,15,LB,2,CB,5,CB,19,RB,26,GK,4-2-3-1,23,FW,11,LW,9,RW,25,AM,44,DM,4,DM,3,LB,24,CB,6,CB,17,RB,31,GK,1,2,away
208,4-2-3-1,7,FW,10,LW,11,RW,18,AM,17,LB,39,DM,23,LB,5,CB,2,CB,29,RB,1,GK,4-4-2,9,FW,10,FW,17,CM,12,CM,64,AM,8,DM,3,LB,5,CB,35,CB,31,RB,1,GK,9,0,home
209,4-4-2,27,FW,19,FW,11,LM,7,RM,4,DM,18,DM,23,LB,6,CB,5,CB,2,RB,1,GK,4-3-3,9,FW,7,LW,26,RW,8,CM,20,CM,16,DM,14,LB,3,CB,5,CB,27,RB,31,GK,0,2,away
210,3-4-3,9,FW,19,LW,15,RW,29,DM,21,DM,33,WB,2,WB,16,CB,5,CB,34,RB,1,GK,4-2-3-1,14,FW,15,LW,17,RW,10,AM,20,CM,8,CM,2,LB,4,CB,6,CB,21,RB,1,GK,0,2,away
211,4-1-4-1,9,FW,22,LM,15,CM,43,CM,18,RM,23,DM,10,LB,6,CB,21,CB,2,RB,1,GK,4-2-3-1,9,FW,7,LW,17,RW,10,AM,21,DM,16,DM,12,LB,22,CB,13,CB,4,RB,33,GK,1,2,away
212,4-2-3-1,11,FW,10,LW,21,RW,20,AM,6,DM,7,DM,18,LB,5,CB,4,CB,2,RB,26,GK,4-2-3-1,30,FW,9,LW,24,RW,11,AM,41,DM,28,DM,3,LB,21,CB,15,CB,5,RB,1,GK,1,3,away
