H,HF,H1N,H1P,H2N,H2P,H3N,H3P,H4N,H4P,H5N,H5P,H6N,H6P,H7N,H7P,H8N,H8P,H9N,H9P,H10N,H10P,H11N,H11P,A,AF,A1N,A1P,A2N,A2P,A3N,A3P,A4N,A4P,A5N,A5P,A6N,A6P,A7N,A7P,A8N,A8P,A9N,A9P,A10N,A10P,A11N,A11P,HS,AS,result
Liverpool,4-3-3,27,ST,10,LW,15,RW,5,CM,23,CM,6,CM,26,LB,3,CB,32,CB,66,RB,1,GK,Burnley,4-4-2,10,ST,9,ST,11,LM,12,RM,8,CM,18,CM,3,LB,6,CB,5,CB,2,RB,1,GK,0,1,away
Aston Villa,4-2-3-1,11,ST,10,LW,15,RW,20,CAM,19,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,Newcastle United,3-5-2,13,ST,7,ST,24,CM,8,CM,16,CM,15,LWB,19,LWB,5,CB,6,CB,14,CB,26,GK,2,0,home
Newcastle United,4-4-1-1,13,ST,21,CAM,24,LM,23,RM,16,CM,8,CM,15,LB,5,CB,6,CB,14,RB,26,GK,Leeds United,4-1-4-1,9,ST,22,LM,20,CM,15,CM,18,RM,23,CM,10,LB,6,CB,14,CB,2,RB,1,GK,1,2,away
Crystal Palace,4-4-2,11,ST,20,ST,25,LM,4,CM,18,CM,10,RM,27,LB,24,CB,8,CB,2,RB,31,GK,West Ham United,4-2-3-1,30,ST,18,LW,20,RW,9,CAM,41,CM,28,CM,3,LB,21,CB,15,CB,5,RB,1,GK,2,3,away
West Bromwich Albion,4-4-1-1,7,ST,12,CAM,29,LM,23,RM,19,CM,8,CM,3,LWB,27,CB,6,CB,2,LWB,1,GK,Manchester City,4-3-3,26,ST,47,LW,7,RW,8,CM,20,CM,16,CM,11,LB,3,CB,5,CB,27,RB,31,GK,0,5,away
Southampton,4-4-2,9,ST,10,ST,17,LM,32,RM,8,CM,27,CM,29,LB,5,CB,35,CB,18,RB,1,GK,Arsenal,4-2-3-1,9,ST,19,LW,7,RW,32,CAM,34,CM,18,CM,17,LB,23,CB,16,CB,2,RB,1,GK,1,3,away
Burnley,4-4-2,9,ST,19,ST,11,LM,12,RM,8,CM,18,CM,23,LB,6,CB,5,CB,2,RB,1,GK,Aston Villa,4-2-3-1,11,ST,10,LW,15,RW,20,CAM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,3,2,home
Chelsea,4-2-3-1,18,ST,29,LW,20,RW,22,CAM,17,CM,5,CM,21,LB,2,CB,6,CB,28,RB,16,GK,Wolverhampton Wanderers,3-4-1-2,7,ST,37,ST,10,CAM,32,CM,8,CM,3,LWB,22,LWB,49,CB,16,CB,15,CB,11,GK,0,0,draw
Brighton & Hove Albion,3-5-2,11,ST,9,ST,10,CM,13,CM,8,CM,20,LWB,34,LWB,4,CB,5,CB,3,CB,26,GK,Fulham,3-4-3,17,ST,19,LW,15,RW,21,CM,29,CM,14,LWB,2,LWB,16,CB,5,CB,34,CB,1,GK,0,0,draw
Manchester United,4-2-3-1,9,ST,10,LW,11,RW,18,CAM,31,CM,6,CM,27,LB,5,CB,38,CB,29,RB,1,GK,Sheffield United,3-5-2,10,ST,17,ST,4,CM,7,CM,16,CM,29,LWB,2,LWB,22,CB,15,CB,6,CB,1,GK,1,2,away
Everton,4-4-2,9,ST,19,ST,12,LM,7,RM,21,CM,26,CM,22,LB,5,CB,13,CB,4,RB,1,GK,Leicester City,4-2-3-1,17,ST,15,LW,11,RW,10,CAM,8,CM,25,CM,2,LB,6,CB,3,CB,27,RB,1,GK,1,1,draw
Tottenham Hotspur,3-4-3,10,ST,7,LW,23,RW,28,CM,5,CM,2,LWB,24,LWB,33,CB,15,CB,14,CB,1,GK,Liverpool,4-3-3,9,ST,10,LW,11,RW,7,CM,6,CM,5,CM,26,LB,14,CB,32,CB,66,RB,1,GK,1,3,away
Everton,4-2-3-1,9,ST,7,LW,17,RW,19,CAM,10,CM,16,CM,12,LB,5,CB,13,CB,23,RB,1,GK,Newcastle United,4-4-2◆,21,ST,13,ST,24,CAM,8,CM,16,CM,14,CM,15,LB,5,CB,6,CB,19,RB,26,GK,0,2,away
Manchester City,4-3-3,9,ST,47,LW,21,RW,8,CM,20,CM,25,CM,11,LB,14,CB,3,CB,2,RB,31,GK,Sheffield United,3-5-2,24,ST,14,ST,4,CM,7,CM,16,CM,20,LWB,2,LWB,22,CB,12,CB,6,CB,1,GK,1,0,home
West Bromwich Albion,3-5-2,7,ST,12,RW,23,CM,18,CM,8,CM,3,LB,2,RB,27,CB,5,CB,6,CB,1,GK,Fulham,3-4-3,9,ST,19,LW,15,RW,29,CM,18,CM,33,LWB,14,LWB,16,CB,5,CB,34,CB,1,GK,2,2,draw
Crystal Palace,4-2-3-1,23,ST,11,LW,9,RW,25,CAM,4,CM,22,CM,3,LB,6,CB,8,CB,17,RB,31,GK,Wolverhampton Wanderers,3-4-3,12,ST,10,CAM,7,CAM,28,CM,32,CM,22,LWB,2,LWB,49,CB,16,CB,15,CB,11,GK,1,0,home
Arsenal,4-2-3-1,9,ST,35,LW,19,RW,32,CAM,34,CM,18,CM,17,LB,23,CB,16,CB,2,RB,1,GK,Manchester United,4-2-3-1,7,ST,6,CM,10,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,0,0,draw
Southampton,4-4-2,11,ST,9,ST,17,LM,32,RM,27,CM,6,CM,3,LB,5,CB,35,CB,8,RB,1,GK,Aston Villa,4-2-3-1,11,ST,10,LW,15,RW,20,CAM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,0,1,away
Chelsea,3-4-3,9,ST,11,LW,19,RW,17,CM,5,CM,3,LWB,20,LWB,2,CB,6,CB,28,CB,16,GK,Burnley,4-4-2,9,ST,27,ST,11,LM,12,RM,4,CM,18,CM,23,LB,6,CB,5,CB,2,RB,1,GK,2,0,home
Leicester City,4-2-3-1,17,ST,15,LW,11,RW,10,CAM,24,CM,8,CM,2,LB,6,CB,3,CB,27,RB,1,GK,Leeds United,4-1-4-1,9,ST,22,LM,15,CM,20,CM,18,RM,23,CM,10,LB,6,CB,21,CB,2,RB,1,GK,1,3,away
West Ham United,4-2-3-1,30,ST,18,LW,20,RW,9,CAM,41,CM,28,CM,3,LB,21,CB,15,CB,5,RB,1,GK,Liverpool,4-4-2◆,27,ST,11,ST,23,CAM,7,CM,6,CM,5,CM,26,LB,14,CB,47,CB,66,RB,1,GK,1,3,away
Brighton & Hove Albion,3-5-2,11,ST,9,ST,10,CM,13,CM,8,CM,20,LWB,34,LWB,4,CB,5,CB,3,CB,26,GK,Tottenham Hotspur,3-4-3,23,ST,7,LW,9,RW,5,CM,28,CM,33,LWB,17,LWB,14,CB,4,CB,6,CB,1,GK,1,0,home
Sheffield United,3-5-2,10,ST,17,ST,4,CM,7,CM,16,CM,20,LWB,2,LWB,22,CB,12,CB,6,CB,1,GK,West Bromwich Albion,4-4-1-1,17,ST,7,LM,12,CAM,10,RM,23,CM,8,CM,14,LB,5,CB,6,CB,27,RB,1,GK,2,1,home
Wolverhampton Wanderers,4-2-3-1,12,ST,7,LW,37,RW,10,CAM,28,CM,8,CM,49,LB,15,CB,16,CB,22,RB,11,GK,Arsenal,4-2-3-1,9,ST,19,LW,7,RW,32,CAM,34,CM,18,CM,17,LB,23,CB,16,CB,2,RB,1,GK,2,1,home
Newcastle United,4-4-2◆,21,ST,13,ST,24,CAM,8,CM,16,CM,14,CM,15,LB,2,CB,5,CB,19,RB,26,GK,Crystal Palace,4-2-3-1,23,ST,11,LW,9,RW,25,CAM,44,CM,4,CM,3,LB,24,CB,6,CB,17,RB,31,GK,1,2,away
Manchester United,4-2-3-1,7,ST,10,LW,11,RW,18,CAM,17,LB,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,Southampton,4-4-2,9,ST,10,ST,17,CM,12,CM,64,CAM,8,CM,3,LB,5,CB,35,CB,31,RB,1,GK,9,0,home
Burnley,4-4-2,27,ST,19,ST,11,LM,7,RM,4,CM,18,CM,23,LB,6,CB,5,CB,2,RB,1,GK,Manchester City,4-3-3,9,ST,7,LW,26,RW,8,CM,20,CM,16,CM,14,LB,3,CB,5,CB,27,RB,31,GK,0,2,away
Fulham,3-4-3,9,ST,19,LW,15,RW,29,CM,21,CM,33,LWB,2,LWB,16,CB,5,CB,34,RB,1,GK,Leicester City,4-2-3-1,14,ST,15,LW,17,RW,10,CAM,20,CM,8,CM,2,LB,4,CB,6,CB,21,RB,1,GK,0,2,away
Leeds United,4-1-4-1,9,ST,22,LM,15,CM,43,CM,18,RM,23,CM,10,LB,6,CB,21,CB,2,RB,1,GK,Everton,4-2-3-1,9,ST,7,LW,17,RW,10,CAM,21,CM,16,CM,12,LB,22,CB,13,CB,4,RB,33,GK,1,2,away
Aston Villa,4-2-3-1,11,ST,10,LW,21,RW,20,CAM,6,CM,7,CM,18,LB,5,CB,4,CB,2,RB,26,GK,West Ham United,4-2-3-1,30,ST,9,LW,24,RW,11,CAM,41,CM,28,CM,3,LB,21,CB,15,CB,5,RB,1,GK,1,3,away
