match_id,home_player_avg_wei,home_player_avg_hei,away_player_avg_wei,away_player_avg_hei
14498,74.2,182.2,74.0,181.3
14499,75.11,182.89,77.38,182.75
14500,75.78,182.78,75.7,183.4
14501,72.82,181.09,79.27,183.09
14502,76.43,183.86,74.2,182.2
14503,79.0,184.18,75.78,182.78
14504,79.64,182.27,79.56,185.0
14505,75.91,181.27,77.38,182.75
14506,78.8,184.3,79.36,185.36
14507,76.27,179.36,72.82,181.09
14508,77.0,185.89,76.8,182.2
14509,74.0,181.3,75.7,183.4
14510,79.3,182.1,75.11,182.89
14511,79.27,183.09,76.09,180.09
14512,76.09,180.09,74.0,181.3
14513,79.56,185.0,79.27,183.09
14514,79.36,185.36,75.91,181.27
14515,76.8,182.2,79.64,182.27
14516,72.82,181.09,79.0,184.18
14517,74.2,182.2,79.3,182.1
14518,75.11,182.89,77.0,185.89
14519,75.78,182.78,76.27,179.36
14520,77.38,182.75,76.43,183.86
14521,75.7,183.4,78.8,184.3
14522,76.43,183.86,75.11,182.89
14523,79.0,184.18,77.38,182.75
14524,79.64,182.27,74.2,182.2
14525,75.91,181.27,76.09,180.09
14526,76.27,179.36,79.56,185.0
14527,77.0,185.89,75.78,182.78
14528,74.0,181.3,72.82,181.09
14529,79.3,182.1,75.7,183.4
14530,79.27,183.09,79.36,185.36
14531,78.8,184.3,76.8,182.2
14532,75.7,183.4,79.27,183.09
14533,72.82,181.09,77.0,185.89
14534,75.78,182.78,79.64,182.27
14535,75.11,182.89,74.0,181.3
14536,76.8,182.2,79.0,184.18
14537,74.2,182.2,75.91,181.27
14538,79.36,185.36,76.43,183.86
14539,79.56,185.0,78.8,184.3
14540,76.09,180.09,76.27,179.36
14541,77.38,182.75,79.3,182.1
14542,74.0,181.3,78.8,184.3
14543,72.82,181.09,75.7,183.4
14544,75.11,182.89,76.09,180.09
14545,75.78,182.78,79.3,182.1
14546,77.0,185.89,75.91,181.27
14547,76.8,182.2,79.27,183.09
14548,79.64,182.27,77.38,182.75
14549,79.36,185.36,76.27,179.36
14550,76.43,183.86,79.56,185.0
14551,79.0,184.18,74.2,182.2
14552,75.7,183.4,77.0,185.89
14553,77.38,182.75,74.0,181.3
14554,79.27,183.09,76.43,183.86
14555,78.8,184.3,79.0,184.18
14556,74.2,182.2,72.82,181.09
14557,79.56,185.0,79.36,185.36
14558,75.91,181.27,75.11,182.89
14559,76.27,179.36,79.64,182.27
14560,79.3,182.1,76.8,182.2
14561,76.09,180.09,75.78,182.78
14562,74.0,181.3,79.27,183.09
14563,72.82,181.09,77.38,182.75
14564,75.11,182.89,76.27,179.36
14565,75.78,182.78,75.91,181.27
14566,77.0,185.89,79.56,185.0
14567,76.43,183.86,78.8,184.3
14568,79.36,185.36,76.09,180.09
