match_id,season,HTF,HP1N,HP1P,HP2N,HP2P,HP3N,HP3P,HP4N,HP4P,HP5N,HP5P,HP6N,HP6P,HP7N,HP7P,HP8N,HP8P,HP9N,HP9P,HP10N,HP10P,HP11N,HP11P,ATF,AP1N,AP1P,AP2N,AP2P,AP3N,AP3P,AP4N,AP4P,AP5N,AP5P,AP6N,AP6P,AP7N,AP7P,AP8N,AP8P,AP9N,AP9P,AP10N,AP10P,AP11N,AP11P
6090456,20200412,NaN,21,G,25,M,15,D,6,M,17,M,20,F,8,F,2,D,16,D,22,D,3,D,NaN,34,G,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,3,D,7,F
6090460,20200412,NaN,17,G,4,D,28,M,33,M,7,M,27,M,50,D,10,M,13,D,14,F,25,D,NaN,21,G,27,D,8,M,5,D,9,F,17,F,45,F,13,D,26,M,15,D,25,D
6090464,20200412,NaN,1,G,11,F,30,F,6,M,8,M,41,M,5,M,25,M,7,D,4,D,13,D,NaN,1,G,5,M,11,F,49,F,27,M,4,D,8,M,24,D,14,M,44,D,25,M
6090469,20200412,NaN,25,G,38,D,6,D,5,D,23,M,18,M,2,M,32,M,19,D,13,F,16,M,NaN,1,G,9,F,18,M,24,D,23,D,29,M,19,D,6,M,3,D,8,M,10,M
6090473,20200412,NaN,1,G,29,M,14,F,31,D,45,F,6,D,10,M,5,D,41,M,8,M,20,D,NaN,1,G,2,M,38,M,33,F,41,M,16,F,7,F,4,M,6,D,22,F,36,M
6090477,20200412,NaN,44,G,4,D,26,D,28,M,37,M,19,D,7,M,40,M,16,F,3,D,30,M,NaN,31,G,14,D,7,M,6,M,30,M,33,D,20,M,9,F,16,D,28,D,11,M
6786651,20200417,NaN,31,G,14,D,7,M,6,M,30,M,33,D,20,M,9,F,16,D,28,D,11,M,NaN,21,G,25,M,15,D,6,M,17,M,20,F,8,F,2,D,16,D,22,D,3,D
6786652,20200417,NaN,1,G,5,M,11,F,49,F,27,M,4,D,8,M,24,D,14,M,44,D,25,M,NaN,1,G,19,D,4,D,3,D,9,F,27,D,29,M,8,M,10,M,18,F,15,M
6786653,20200417,NaN,21,G,27,D,8,M,5,D,9,F,17,F,45,F,13,D,26,M,15,D,25,D,NaN,1,G,2,M,38,M,33,F,41,M,16,F,7,F,4,M,6,D,22,F,36,M
6809419,20200418,NaN,27,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M,NaN,17,G,4,D,28,M,33,M,7,M,27,M,50,D,10,M,13,D,14,F,25,D
6809423,20200418,NaN,33,G,27,F,28,M,15,M,44,M,4,D,45,M,37,D,49,D,9,F,32,D,NaN,25,G,38,D,6,D,5,D,23,M,18,M,2,M,32,M,19,D,13,F,16,M
6809427,20200418,NaN,34,G,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,3,D,7,F,NaN,1,G,26,D,11,M,3,D,25,F,23,D,17,F,4,D,15,M,2,M,16,F
6809431,20200418,NaN,22,G,15,D,40,M,16,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D,NaN,44,G,4,D,26,D,28,M,37,M,19,D,7,M,40,M,16,F,3,D,30,M
6809435,20200418,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D
6809439,20200418,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D
8653605,20200509,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M
8654624,20200510,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D,NaN,1,G,15,D,33,F,41,M,30,M,16,F,13,D,50,M,6,D,22,F,25,M
8654625,20200510,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F
8654626,20200510,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D
8654627,20200510,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M
8654628,20200510,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M,NaN,22,G,15,D,40,M,31,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D
8654629,20200510,NaN,25,G,38,D,6,D,23,M,2,M,32,M,19,D,8,D,13,F,11,F,16,M,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D
8654630,20200510,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D
8654631,20200510,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M
8655040,20200513,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D
8655041,20200513,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D
15005904,20200515,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F
15007046,20200516,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M
15007048,20200516,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D
15007050,20200516,NaN,1,G,15,D,33,F,41,M,30,M,16,F,13,D,50,M,6,D,22,F,25,M,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M
15007052,20200516,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M,NaN,25,G,38,D,6,D,23,M,2,M,32,M,19,D,8,D,13,F,11,F,16,M
15161261,20200517,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D
15161262,20200517,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D
15161263,20200517,NaN,22,G,15,D,40,M,31,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D
15161264,20200517,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D
15165088,20200523,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M
15165089,20200523,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D
15165090,20200523,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,1,G,15,D,33,F,41,M,30,M,16,F,13,D,50,M,6,D,22,F,25,M
15165091,20200523,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D
15165092,20200523,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F
15165093,20200523,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M
15165094,20200523,NaN,25,G,38,D,6,D,23,M,2,M,32,M,19,D,8,D,13,F,11,F,16,M,NaN,22,G,15,D,40,M,31,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D
15165095,20200523,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D
15165096,20200523,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F
15169830,20200530,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M
15169833,20200530,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F
15174470,20200531,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D
15174474,20200531,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F
15174479,20200531,NaN,22,G,15,D,40,M,31,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M
