match_id,team_id,fouls,injuries,corners,offsides,shots_total,shots_on_target,shots_off_target,shots_blocked,possessionpercent,yellowcards,yellowredcards,redcards,substitutions,goal_kick,goal_attempts,free_kick,throw_in,ball_safe,goals,penalties,attacks,dangerous_attacks
47663,3697,13,2,4,3,19,6,10,3,51,2,0,0,0,9,16,17,18,0,2,0,0,0
47663,3696,15,1,3,2,11,5,4,2,49,3,0,0,0,14,9,16,26,0,0,1,0,0
47664,3692,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47664,3698,NaN,NaN,1,0,1,1,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,0,0,0
47665,3701,19,0,8,1,12,3,9,NaN,46,1,0,0,0,7,12,19,31,0,2,0,0,0
47665,3699,19,1,5,0,5,3,2,NaN,54,2,0,0,0,14,5,20,13,0,2,0,0,0
47666,3700,8,0,12,1,16,5,6,5,50,1,0,0,0,7,11,12,10,0,0,0,0,0
47666,3694,8,2,4,4,8,3,4,1,50,1,0,0,0,8,7,9,22,0,1,0,0,0
47667,3691,8,2,6,2,9,4,3,2,53,2,0,0,0,6,7,9,34,0,0,0,0,0
47667,3690,9,1,4,0,9,3,5,1,47,2,0,0,0,5,8,10,31,0,2,0,0,0
47668,3700,6,0,5,4,12,4,2,6,52,2,0,0,0,6,6,11,27,0,0,0,0,0
47668,3701,10,1,4,1,10,5,4,1,48,2,0,0,0,6,9,10,14,0,3,1,0,0
47669,3699,13,1,5,0,17,5,8,4,56,2,0,0,0,13,13,13,25,0,2,0,0,0
47669,3691,12,3,2,1,15,7,6,2,44,1,0,0,0,12,13,13,18,0,4,0,0,0
47670,3694,12,1,4,1,4,2,1,1,48,3,0,0,0,7,3,17,23,0,1,0,0,0
47670,3690,15,1,4,2,13,7,4,2,52,2,0,0,0,6,11,13,14,0,1,0,0,0
47671,3702,20,0,3,0,16,6,7,3,50,3,0,0,0,12,13,23,18,0,1,0,0,0
47671,3703,22,2,6,1,18,5,8,5,50,0,0,0,0,8,13,20,32,0,1,0,0,0
47672,3696,6,1,5,1,15,4,6,5,55,1,0,0,0,8,10,21,30,0,2,0,0,0
47672,3698,19,0,6,2,8,1,4,3,45,1,0,0,0,12,5,7,21,0,0,0,0,0
47673,3693,13,1,5,3,9,5,4,0,52,2,1,0,0,8,9,11,24,0,1,0,0,0
47673,3692,10,1,0,1,11,4,3,4,48,0,0,0,0,8,7,16,20,0,2,1,0,0
47674,3697,9,1,2,0,11,6,3,2,57,4,0,1,0,15,9,15,24,0,2,0,0,0
47674,3695,14,0,6,1,20,10,5,5,43,4,0,0,0,7,15,9,15,0,4,1,0,0
47675,3704,16,1,9,1,10,6,4,0,57,2,0,0,0,13,10,18,25,0,1,0,0,0
47675,3702,17,1,6,1,13,1,7,5,43,2,1,0,0,6,8,17,20,0,0,0,0,0
47676,3698,7,0,7,1,20,8,5,7,52,1,0,0,0,5,13,22,16,0,4,0,0,0
47676,3695,19,3,1,3,16,8,4,4,48,2,1,0,0,11,12,8,21,0,1,0,0,0
47677,3693,17,2,6,1,12,7,2,3,52,2,0,0,0,7,9,15,12,0,3,0,0,0
47677,3697,14,1,4,1,7,1,4,2,48,2,0,1,0,4,5,18,20,0,1,0,0,0
47678,3692,12,NaN,7,1,14,2,8,4,47,2,0,0,0,8,10,13,23,0,0,0,0,0
47678,3696,12,NaN,5,1,8,2,5,1,53,3,0,0,0,9,7,13,24,0,0,0,0,0
47679,3694,12,0,5,2,13,5,4,4,55,1,0,0,0,9,9,11,26,0,1,0,0,0
47679,3701,9,1,6,2,16,7,6,3,45,2,0,0,0,7,13,14,16,0,4,1,0,0
